name,lat,lng
wc 001,47.520395,19.0793874
wc 002,47.5192649,19.0791231
wc 003,47.4728698,19.0572899
wc 004,47.5198368,19.0467069
wc 005,47.5394615,19.0613471
wc 006,47.4673698,19.0777174
wc 007,47.4674431,19.0776638
wc 008,47.4739416,19.0702762
wc 009,47.5414015,18.9635149
wc 010,47.5414136,18.9635648
wc 011,47.5282241,19.0378126
wc 012,47.5286457,18.9526471
wc 013,47.5092246,19.0267821
wc 014,47.510804,19.0258574
wc 015,47.5078365,19.0241648
wc 016,47.4893539,19.0217564
wc 017,47.5425155,19.0963586
wc 018,47.5421935,19.0985163
wc 019,47.5389666,19.0610574
wc 020,47.5195246,19.0816567
wc 021,47.5198621,19.0812745
wc 022,47.5202365,19.0811369
wc 023,47.5179109,19.0773629
wc 024,47.4235915,19.033497
wc 025,47.5513197,19.026656
wc 026,47.5534295,19.0231259
wc 027,47.4302431,19.043398
wc 028,47.4813532,18.9985602
wc 029,47.4817546,18.9997129
wc 030,47.5717581,19.0621195
wc 031,47.5717748,19.0621208
wc 032,47.465187,19.0628611
wc 033,47.5003003,18.9628402
wc 034,47.5173139,19.0754467
wc 035,47.5088778,19.0840128
wc 036,47.5314795,19.0431997
wc 037,47.5691928,19.0498668
wc 038,47.5059076,19.1206575
wc 039,47.582031,19.0907917
wc 040,47.5182165,19.0371592
wc 041,47.5141686,19.0843671
wc 042,47.5457321,19.044264
wc 043,47.4673388,19.0775556
wc 044,47.4678889,19.0776183
wc 045,47.467842,19.0775702
wc 046,47.5723775,19.0160021
wc 047,47.5723845,19.0159981
wc 048,47.5015973,19.1008847
wc 049,47.4720097,19.13129
wc 050,47.5170589,19.1983555
wc 051,47.5632972,19.0486893
wc 052,47.4325899,19.1783785
wc 053,47.484914,19.0771851
wc 054,47.4448666,19.0759346
wc 055,47.515908,19.0768051
wc 056,47.5251232,19.0456316
wc 057,47.5293327,19.0465589
wc 058,47.5276215,19.0467472
wc 059,47.5251559,19.045646
wc 060,47.5008904,19.1064983
wc 061,47.5231435,19.0693199
wc 062,47.5176182,19.0365966
wc 063,47.5183715,19.0366464
wc 064,47.5392817,19.0612802
wc 065,47.4664062,19.0482181
wc 066,47.4726716,19.0596506
wc 067,47.4727359,19.0605719
wc 068,47.4724163,19.0600276
wc 069,47.5607708,18.9447587
wc 070,47.4723336,19.0617941
wc 071,47.512361,19.0801857
wc 072,47.473814,19.0850701
wc 073,47.473824,19.0850622
wc 074,47.5107364,19.0468845
wc 075,47.50945,19.0509949
wc 076,47.5015885,19.0349193
wc 077,47.5119534,19.0851955
wc 078,47.4796431,19.0666703
wc 079,47.51164,19.0312704
wc 080,47.5136688,19.0800459
wc 081,47.4863419,19.0656495
wc 082,47.4746095,19.0984574
wc 083,47.5038447,19.0283733
wc 084,47.4836966,19.0608772
wc 085,47.4638999,19.0228105
wc 086,47.5086914,19.0463038
wc 087,47.4896508,19.0464032
wc 088,47.4927614,19.0154479
wc 089,47.505232,19.0926558
wc 090,47.4696807,19.0103795
wc 091,47.4257384,19.0894853
wc 092,47.4995451,19.0243391
wc 093,47.5058472,18.958874
wc 094,47.498022,18.9615006
wc 095,47.5150682,19.079276
wc 096,47.4745386,19.0478966
wc 097,47.511583,19.1010065
wc 098,47.499419,19.029697
wc 099,47.5495003,19.0721114
wc 100,47.5496541,19.0722565
wc 101,47.4918563,19.041653
wc 102,47.5110292,18.9851728
wc 103,47.4839741,18.9959457
wc 104,47.4692897,18.9981699
wc 105,47.4623219,19.0314698
wc 106,47.4391015,19.1003545
wc 107,47.4636197,19.1287521
wc 108,47.4635987,19.1288064
wc 109,47.4440495,19.0272952
wc 110,47.581354,19.0925835
wc 111,47.5066197,19.0389978
wc 112,47.446696,19.0376813
wc 113,47.5085137,19.2431017
wc 114,47.4646378,19.0376857
wc 115,47.5088966,19.024528
wc 116,47.4910386,19.0385459
wc 117,47.4233663,19.0679718
wc 118,47.4144401,19.0546279
wc 119,47.5157997,19.0820215
